GeneName	RefSeq_Summary
LOC7458372	probable LRR receptor-like serine/threonine-protein kinase At1g56130	probable LRR receptor-like serine/threonine-protein kinase At1g56130
LOC7458373	uncharacterized LOC7458373	uncharacterized LOC7458373
LOC7458374	nucleotide-sugar uncharacterized transporter 3	nucleotide-sugar uncharacterized transporter 3
LOC7458375	adenine phosphoribosyltransferase 5	adenine phosphoribosyltransferase 5
LOC7458376	14 kDa proline-rich protein DC2.15	14 kDa proline-rich protein DC2.15
LOC7458377	vesicle-associated membrane protein 711	vesicle-associated membrane protein 711
LOC7458378	uncharacterized LOC7458378	uncharacterized LOC7458378
LOC7458380	probable glycosyltransferase At5g11130	probable glycosyltransferase At5g11130
LOC7458381	probable sucrose-phosphate synthase 1	probable sucrose-phosphate synthase 1
LOC7458382	synaptotagmin-4	synaptotagmin-4
LOC7458383	bifunctional purple acid phosphatase 26	bifunctional purple acid phosphatase 26
LOC7458384	uncharacterized vacuolar membrane protein YML018C	uncharacterized vacuolar membrane protein YML018C
LOC7458385	cysteine--tRNA ligase, chloroplastic/mitochondrial	cysteine--tRNA ligase, chloroplastic/mitochondrial
LOC7458387	topless-related protein 1	topless-related protein 1
LOC7458389	uncharacterized LOC7458389	uncharacterized LOC7458389
LOC7458390	protein PHOX1	protein PHOX1
LOC7458391	calcium uptake protein, mitochondrial	calcium uptake protein, mitochondrial
LOC7458392	uncharacterized LOC7458392	uncharacterized LOC7458392
LOC7458393	uncharacterized LOC7458393	uncharacterized LOC7458393
LOC7458394	hydroxyproline O-arabinosyltransferase 1	hydroxyproline O-arabinosyltransferase 1
LOC7458395	flotillin-like protein 4	flotillin-like protein 4
LOC7458396	neurochondrin	neurochondrin
LOC7458397	homeobox protein knotted-1-like 3	homeobox protein knotted-1-like 3
LOC7458398	trafficking protein particle complex II-specific subunit 120 homolog	trafficking protein particle complex II-specific subunit 120 homolog
LOC7458402	uncharacterized LOC7458402	uncharacterized LOC7458402
LOC7458403	probable receptor-like protein kinase At1g80640	probable receptor-like protein kinase At1g80640
LOC7458405	probable homogentisate phytyltransferase 1, chloroplastic	probable homogentisate phytyltransferase 1, chloroplastic
LOC7458406	ethylene-responsive transcription factor ERF003	ethylene-responsive transcription factor ERF003
LOC7458407	deSI-like protein At4g17486	deSI-like protein At4g17486
LOC7458408	uncharacterized At2g39795, mitochondrial	uncharacterized At2g39795, mitochondrial
LOC7458409	two-component response regulator ARR12	two-component response regulator ARR12
LOC7458410	CHD3-type chromatin-remodeling factor PICKLE	CHD3-type chromatin-remodeling factor PICKLE
LOC7458411	cytochrome b561, DM13 and DOMON domain-containing protein At5g54830	cytochrome b561, DM13 and DOMON domain-containing protein At5g54830
LOC7458412	probable CCR4-associated factor 1 homolog 6	probable CCR4-associated factor 1 homolog 6
LOC7458413	uncharacterized LOC7458413	uncharacterized LOC7458413
LOC7458414	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
LOC7458415	putative receptor-like protein kinase At3g47110	putative receptor-like protein kinase At3g47110
LOC7458418	protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION	protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION
LOC7458419	3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial	3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial
LOC7458420	phospholipase D Y	phospholipase D Y
LOC7458421	BTB/POZ domain-containing protein NPY1	BTB/POZ domain-containing protein NPY1
LOC7458422	lysosomal Pro-X carboxypeptidase	lysosomal Pro-X carboxypeptidase
LOC7458423	transmembrane 9 superfamily member 8	transmembrane 9 superfamily member 8
LOC7458424	early nodulin-like protein 1	early nodulin-like protein 1
LOC7458426	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC7458430	ubiquitin carboxyl-terminal hydrolase 22	ubiquitin carboxyl-terminal hydrolase 22
LOC7458431	probable steroid-binding protein 3	probable steroid-binding protein 3
LOC7458432	ER membrane protein complex subunit 4	ER membrane protein complex subunit 4
LOC7458434	VQ motif-containing protein 11	VQ motif-containing protein 11
LOC7458435	chaperone protein DnaJ	chaperone protein DnaJ
LOC7458436	zinc finger CCCH domain-containing protein 22	zinc finger CCCH domain-containing protein 22
LOC7458438	peroxidase 46	peroxidase 46
LOC7458440	lariat debranching enzyme	lariat debranching enzyme
LOC7458442	aspartyl protease family protein At5g10770	aspartyl protease family protein At5g10770
LOC7458443	aspartyl protease family protein At5g10770	aspartyl protease family protein At5g10770
LOC7458446	galactan beta-1,4-galactosyltransferase GALS1	galactan beta-1,4-galactosyltransferase GALS1
LOC7458447	uncharacterized LOC7458447	uncharacterized LOC7458447
LOC7458449	uncharacterized At1g76660	uncharacterized At1g76660
LOC7458450	histone-lysine N-methyltransferase ATXR7	histone-lysine N-methyltransferase ATXR7
LOC7458452	UDP-rhamnose/UDP-galactose transporter 2	UDP-rhamnose/UDP-galactose transporter 2
LOC7458453	chaperone protein dnaJ 10	chaperone protein dnaJ 10
LOC7458455	protein ENDOSPERM DEFECTIVE 1	protein ENDOSPERM DEFECTIVE 1
LOC7458457	myb family transcription factor PHL7	myb family transcription factor PHL7
LOC7458458	enhancer of mRNA-decapping protein 4	enhancer of mRNA-decapping protein 4
LOC7458460	heavy metal-associated isoprenylated plant protein 47	heavy metal-associated isoprenylated plant protein 47
LOC7458463	glucan endo-1,3-beta-glucosidase 6	glucan endo-1,3-beta-glucosidase 6
LOC7458465	calcineurin B-like protein 3	calcineurin B-like protein 3
LOC7458466	farnesyl pyrophosphate synthase 1	farnesyl pyrophosphate synthase 1
LOC7458467	uncharacterized LOC7458467	uncharacterized LOC7458467
LOC7458468	U-box domain-containing protein 35	U-box domain-containing protein 35
LOC7458469	WEB family protein At1g12150	WEB family protein At1g12150
LOC7458470	cellulose synthase-like protein E6	cellulose synthase-like protein E6
LOC7458471	acetyl-CoA acetyltransferase, cytosolic 1	acetyl-CoA acetyltransferase, cytosolic 1
LOC7458472	nuclear transcription factor Y subunit B-1	nuclear transcription factor Y subunit B-1
LOC7458474	nuclear transcription factor Y subunit B-3	nuclear transcription factor Y subunit B-3
LOC7458475	acyl carrier protein 3, mitochondrial	acyl carrier protein 3, mitochondrial
LOC7458476	ATPase 8, plasma membrane-type	ATPase 8, plasma membrane-type
LOC7458477	oligopeptide transporter 3	oligopeptide transporter 3
LOC7458478	putative pentatricopeptide repeat-containing protein At4g17915	putative pentatricopeptide repeat-containing protein At4g17915
LOC7458479	choline-phosphate cytidylyltransferase 1	choline-phosphate cytidylyltransferase 1
LOC7458480	zinc transporter 8	zinc transporter 8
LOC7458482	anthocyanidin 3-O-glucosyltransferase 2	anthocyanidin 3-O-glucosyltransferase 2
LOC7458484	ABC transporter F family member 4	ABC transporter F family member 4
LOC7458486	36.4 kDa proline-rich protein	36.4 kDa proline-rich protein
LOC7458487	proteasome subunit alpha type-4	proteasome subunit alpha type-4
LOC7458489	uclacyanin 1	uclacyanin 1
LOC7458490	transcription initiation factor IIF subunit alpha	transcription initiation factor IIF subunit alpha
LOC7458491	spore wall protein 2	spore wall protein 2
LOC7458492	mannan endo-1,4-beta-mannosidase 6	mannan endo-1,4-beta-mannosidase 6
LOC7458493	uncharacterized LOC7458493	uncharacterized LOC7458493
LOC7458495	acyl-CoA--sterol O-acyltransferase 1	acyl-CoA--sterol O-acyltransferase 1
LOC7458496	AF4/FMR2 family member 4	AF4/FMR2 family member 4
LOC7458498	uncharacterized LOC7458498	uncharacterized LOC7458498
LOC7458499	uncharacterized LOC7458499	uncharacterized LOC7458499
LOC7458500	hydroxyproline O-galactosyltransferase GALT2	hydroxyproline O-galactosyltransferase GALT2
LOC7458501	ER membrane protein complex subunit 3	ER membrane protein complex subunit 3
LOC7458504	F-box protein CPR1	F-box protein CPR1
LOC7458505	uncharacterized LOC7458505	uncharacterized LOC7458505
LOC7458508	MDIS1-interacting receptor like kinase 1	MDIS1-interacting receptor like kinase 1
LOC7458511	probable LRR receptor-like serine/threonine-protein kinase At1g53420	probable LRR receptor-like serine/threonine-protein kinase At1g53420
LOC7458512	disease resistance RPP13-like protein 4	disease resistance RPP13-like protein 4
LOC7458513	cysteine proteinase inhibitor 5	cysteine proteinase inhibitor 5
LOC7458514	cysteine proteinase inhibitor 1	cysteine proteinase inhibitor 1
LOC7458515	inositol monophosphatase 3	inositol monophosphatase 3
LOC7458516	cytochrome b561 and DOMON domain-containing protein At5g47530	cytochrome b561 and DOMON domain-containing protein At5g47530
LOC7458517	inositol transporter 4	inositol transporter 4
LOC7458518	putative yippee-like protein Os10g0369500	putative yippee-like protein Os10g0369500
LOC7458520	heterogeneous nuclear ribonucleoprotein 1	heterogeneous nuclear ribonucleoprotein 1
LOC7458522	O-fucosyltransferase 15	O-fucosyltransferase 15
LOC7458523	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5
LOC7458524	ATP synthase gamma chain, chloroplastic	ATP synthase gamma chain, chloroplastic
LOC7458525	tRNA wybutosine-synthesizing protein 2/3/4	tRNA wybutosine-synthesizing protein 2/3/4
LOC7458526	peroxidase 42	peroxidase 42
LOC7458527	uncharacterized LOC7458527	uncharacterized LOC7458527
LOC7458528	uncharacterized LOC7458528	uncharacterized LOC7458528
LOC7458529	uncharacterized GPI-anchored protein At1g61900	uncharacterized GPI-anchored protein At1g61900
LOC7458530	mitogen-activated protein kinase kinase kinase 18	mitogen-activated protein kinase kinase kinase 18
LOC7458532	pectinesterase inhibitor	pectinesterase inhibitor
LOC7458534	heat shock 70 kDa protein 16	heat shock 70 kDa protein 16
LOC7458535	mediator of RNA polymerase II transcription subunit 21	mediator of RNA polymerase II transcription subunit 21
LOC7458536	polyadenylate-binding protein RBP45B	polyadenylate-binding protein RBP45B
LOC7458538	abnormal spindle-like microcephaly-associated protein homolog	abnormal spindle-like microcephaly-associated protein homolog
LOC7458539	cytochrome P450 716B1	cytochrome P450 716B1
LOC7458540	acetyl-CoA-benzylalcohol acetyltransferase	acetyl-CoA-benzylalcohol acetyltransferase
LOC7458541	derlin-2.2	derlin-2.2
LOC7458542	probable serine/threonine-protein kinase PBL23	probable serine/threonine-protein kinase PBL23
LOC7458543	uncharacterized LOC7458543	uncharacterized LOC7458543
LOC7458544	RNA pseudouridine synthase 6, chloroplastic	RNA pseudouridine synthase 6, chloroplastic
LOC7458546	homeobox-leucine zipper protein MERISTEM L1	homeobox-leucine zipper protein MERISTEM L1
LOC7458547	major allergen Pru ar 1	major allergen Pru ar 1
LOC7458548	cysteine-rich PDZ-binding protein	cysteine-rich PDZ-binding protein
LOC7458550	probable pyruvate, phosphate dikinase regulatory protein, chloroplastic	probable pyruvate, phosphate dikinase regulatory protein, chloroplastic
LOC7458551	uncharacterized LOC7458551	uncharacterized LOC7458551
LOC7458552	peroxidase 27	peroxidase 27
LOC7458554	uncharacterized LOC7458554	uncharacterized LOC7458554
LOC7458555	cysteine-rich receptor-like protein kinase 10	cysteine-rich receptor-like protein kinase 10
LOC7458560	cysteine-rich receptor-like protein kinase 15	cysteine-rich receptor-like protein kinase 15
LOC7458562	cysteine-rich receptor-like protein kinase 15	cysteine-rich receptor-like protein kinase 15
LOC7458565	cysteine-rich receptor-like protein kinase 10	cysteine-rich receptor-like protein kinase 10
LOC7458570	cysteine-rich receptor-like protein kinase 10	cysteine-rich receptor-like protein kinase 10
LOC7458571	beta-glucosidase 46	beta-glucosidase 46
LOC7458572	beta-glucosidase 47	beta-glucosidase 47
LOC7458573	cysteine-rich receptor-like protein kinase 10	cysteine-rich receptor-like protein kinase 10
LOC7458581	transcription factor MYB14	transcription factor MYB14
LOC7458582	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330
LOC7458583	G-type lectin S-receptor-like serine/threonine-protein kinase B120	G-type lectin S-receptor-like serine/threonine-protein kinase B120
LOC7458587	G-type lectin S-receptor-like serine/threonine-protein kinase B120	G-type lectin S-receptor-like serine/threonine-protein kinase B120
LOC7458588	receptor-like serine/threonine-protein kinase SD1-8	receptor-like serine/threonine-protein kinase SD1-8
LOC7458589	uncharacterized LOC7458589	uncharacterized LOC7458589
LOC7458591	uncharacterized LOC7458591	uncharacterized LOC7458591
LOC7458593	elongator complex protein 1	elongator complex protein 1
LOC7458594	transcription factor bHLH113	transcription factor bHLH113
LOC7458595	40S ribosomal protein S15a-1	40S ribosomal protein S15a-1
LOC7458596	ras-related protein RABE1c	ras-related protein RABE1c
LOC7458597	zinc finger protein ZAT11	zinc finger protein ZAT11
LOC7458600	pectinesterase inhibitor	pectinesterase inhibitor
LOC7458601	aquaporin TIP1-3	aquaporin TIP1-3
LOC7458602	photosynthetic NDH subunit of lumenal location 1, chloroplastic	photosynthetic NDH subunit of lumenal location 1, chloroplastic
LOC7458603	psbP-like protein 1, chloroplastic	psbP-like protein 1, chloroplastic
LOC7458607	protein-tyrosine-phosphatase MKP1	protein-tyrosine-phosphatase MKP1
LOC7458608	beta-hexosaminidase 1	beta-hexosaminidase 1
LOC7458609	protein transport protein Sec24-like At3g07100	protein transport protein Sec24-like At3g07100
LOC7458610	metal tolerance protein 11	metal tolerance protein 11
LOC7458611	uncharacterized LOC7458611	uncharacterized LOC7458611
LOC7458612	dirigent protein 25	dirigent protein 25
LOC7458613	spliceosome-associated protein 130 A	spliceosome-associated protein 130 A
LOC7458614	60S ribosomal protein L35	60S ribosomal protein L35
LOC7458615	3-ketoacyl-CoA synthase 19	3-ketoacyl-CoA synthase 19
LOC7458616	uncharacterized LOC7458616	uncharacterized LOC7458616
LOC7458617	chalcone--flavonone isomerase	chalcone--flavonone isomerase
LOC7458618	uncharacterized LOC7458618	uncharacterized LOC7458618
LOC7458619	uncharacterized LOC7458619	uncharacterized LOC7458619
LOC7458621	golgin subfamily B member 1	golgin subfamily B member 1
LOC7458622	uncharacterized LOC7458622	uncharacterized LOC7458622
LOC7458623	nitrilase-like protein 2	nitrilase-like protein 2
LOC7458624	probable protein phosphatase 2C 38	probable protein phosphatase 2C 38
LOC7458625	ecotropic viral integration site 5 protein homolog	ecotropic viral integration site 5 protein homolog
LOC7458626	two-component response regulator-like PRR37	two-component response regulator-like PRR37
LOC7458627	adenylate kinase 1, chloroplastic	adenylate kinase 1, chloroplastic
LOC7458628	protein TONNEAU 1a	protein TONNEAU 1a
LOC7458629	leukotriene A-4 hydrolase homolog	leukotriene A-4 hydrolase homolog
LOC7458630	50S ribosomal protein L10, chloroplastic	50S ribosomal protein L10, chloroplastic
LOC7458631	uncharacterized YKR070W	uncharacterized YKR070W
LOC7458633	regulator of nonsense transcripts UPF2	regulator of nonsense transcripts UPF2
LOC7458634	uncharacterized LOC7458634	uncharacterized LOC7458634
LOC7458636	uncharacterized LOC7458636	uncharacterized LOC7458636
LOC7458637	Golgi to ER traffic protein 4 homolog	Golgi to ER traffic protein 4 homolog
LOC7458638	pentatricopeptide repeat-containing protein At2g16880	pentatricopeptide repeat-containing protein At2g16880
LOC7458639	cyclin-L1-1	cyclin-L1-1
LOC7458641	uncharacterized LOC7458641	uncharacterized LOC7458641
LOC7458645	E3 SUMO-protein ligase SIZ1	E3 SUMO-protein ligase SIZ1
LOC7458646	beta-taxilin	beta-taxilin
LOC7458647	general transcription factor IIF subunit 2	general transcription factor IIF subunit 2
LOC7458648	serine carboxypeptidase-like 27	serine carboxypeptidase-like 27
LOC7458650	MLO-like protein 6	MLO-like protein 6
LOC7458651	probable E3 ubiquitin-protein ligase ZFP1	probable E3 ubiquitin-protein ligase ZFP1
LOC7458653	uncharacterized sll0005	uncharacterized sll0005
LOC7458654	chlorophyll a-b binding protein 6, chloroplastic	chlorophyll a-b binding protein 6, chloroplastic
LOC7458655	aminodeoxychorismate synthase, chloroplastic	aminodeoxychorismate synthase, chloroplastic
LOC7458656	tyrosine-specific transport protein	tyrosine-specific transport protein
LOC7458658	WPP domain-associated protein	WPP domain-associated protein
LOC7458659	caffeoylshikimate esterase	caffeoylshikimate esterase
LOC7458660	uncharacterized LOC7458660	uncharacterized LOC7458660
LOC7458661	mRNA-decapping enzyme subunit 2	mRNA-decapping enzyme subunit 2
LOC7458662	uncharacterized LOC7458662	uncharacterized LOC7458662
LOC7458663	ubiquitin-like protein 5	ubiquitin-like protein 5
LOC7458664	GATA transcription factor 8	GATA transcription factor 8
LOC7458718	glutamate receptor 2.8	glutamate receptor 2.8
LOC7458719	histidine kinase 5	histidine kinase 5
LOC7458720	ubiquitin carboxyl-terminal hydrolase 18	ubiquitin carboxyl-terminal hydrolase 18
LOC7458721	UDP-galactose/UDP-glucose transporter 7	UDP-galactose/UDP-glucose transporter 7
LOC7458722	probable xyloglucan glycosyltransferase 5	probable xyloglucan glycosyltransferase 5
LOC7458723	probable cyclic nucleotide-gated ion channel 14	probable cyclic nucleotide-gated ion channel 14
LOC7458724	probable sarcosine oxidase	probable sarcosine oxidase
LOC7458725	centromere-associated protein E	centromere-associated protein E
LOC7458726	exocyst complex component EXO70A1	exocyst complex component EXO70A1
LOC7458727	uncharacterized LOC7458727	uncharacterized LOC7458727
LOC7458728	uncharacterized LOC7458728	uncharacterized LOC7458728
LOC7458729	GDSL esterase/lipase At1g29670	GDSL esterase/lipase At1g29670
LOC7458730	F-box protein At3g22700	F-box protein At3g22700
LOC7458732	F-box protein AFR	F-box protein AFR
LOC7458733	pathogenesis-related protein PRB1-2	pathogenesis-related protein PRB1-2
LOC7458734	uncharacterized LOC7458734	uncharacterized LOC7458734
LOC7458736	elongation factor 1-alpha	elongation factor 1-alpha
LOC7458737	uncharacterized LOC7458737	uncharacterized LOC7458737
LOC7458738	cytoplasmic 60S subunit biogenesis factor REI1 homolog 1	cytoplasmic 60S subunit biogenesis factor REI1 homolog 1
LOC7458739	COP9 signalosome complex subunit 5a	COP9 signalosome complex subunit 5a
LOC7458740	plasma membrane ATPase 4	plasma membrane ATPase 4
LOC7458741	centromere protein O	centromere protein O
LOC7458743	myb family transcription factor EFM	myb family transcription factor EFM
LOC7458744	ABC transporter G family member 32	ABC transporter G family member 32
LOC7458746	protein PGR	protein PGR
LOC7458747	serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa	serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa
LOC7458749	palmitoyl-acyl carrier protein thioesterase, chloroplastic	palmitoyl-acyl carrier protein thioesterase, chloroplastic
LOC7458750	probable serine incorporator	probable serine incorporator
LOC7458751	uncharacterized LOC7458751	uncharacterized LOC7458751
LOC7458753	ARF guanine-nucleotide exchange factor GNL2	ARF guanine-nucleotide exchange factor GNL2
LOC7458755	aldehyde dehydrogenase family 2 member C4	aldehyde dehydrogenase family 2 member C4
LOC7458756	protein ACCELERATED CELL DEATH 6	protein ACCELERATED CELL DEATH 6
LOC7458757	protein ACCELERATED CELL DEATH 6	protein ACCELERATED CELL DEATH 6
LOC7458763	uncharacterized LOC7458763	uncharacterized LOC7458763
LOC7458764	transcription repressor OFP8	transcription repressor OFP8
LOC7458765	uncharacterized LOC7458765	uncharacterized LOC7458765
LOC7458766	probable chlorophyll(ide) b reductase NYC1, chloroplastic	probable chlorophyll(ide) b reductase NYC1, chloroplastic
LOC7458767	subtilisin-like protease SBT6.1	subtilisin-like protease SBT6.1
LOC7458768	PXMP2/4 family protein 2	PXMP2/4 family protein 2
LOC7458769	chloroplast processing peptidase	chloroplast processing peptidase
LOC7458770	protein CONTINUOUS VASCULAR RING 1	protein CONTINUOUS VASCULAR RING 1
LOC7458771	rho guanine nucleotide exchange factor 8	rho guanine nucleotide exchange factor 8
LOC7458772	aspartate aminotransferase, cytoplasmic	aspartate aminotransferase, cytoplasmic
LOC7458773	protein tesmin/TSO1-like CXC 5	protein tesmin/TSO1-like CXC 5
LOC7458774	cyclin-dependent kinase F-1	cyclin-dependent kinase F-1
LOC7458775	rac-like GTP-binding protein ARAC7	rac-like GTP-binding protein ARAC7
LOC7458776	uncharacterized LOC7458776	uncharacterized LOC7458776
LOC7458777	aldehyde oxidase GLOX1	aldehyde oxidase GLOX1
LOC7458778	probable xyloglucan endotransglucosylase/hydrolase protein 26	probable xyloglucan endotransglucosylase/hydrolase protein 26
LOC7458779	transmembrane protein 234 homolog	transmembrane protein 234 homolog
LOC7458782	E3 ubiquitin-protein ligase ATL42	E3 ubiquitin-protein ligase ATL42
LOC7458784	uncharacterized LOC7458784	uncharacterized LOC7458784
LOC7458785	uncharacterized LOC7458785	uncharacterized LOC7458785
LOC7458787	ethylene-responsive transcription factor ERF043	ethylene-responsive transcription factor ERF043
LOC7458810	extra-large guanine nucleotide-binding protein 3	extra-large guanine nucleotide-binding protein 3
LOC7458811	RING-H2 finger protein ATL73	RING-H2 finger protein ATL73
LOC7458812	ATP-dependent DNA helicase DDM1	ATP-dependent DNA helicase DDM1
LOC7458815	UDP-xylose transporter 3	UDP-xylose transporter 3
LOC7458818	probable serine/threonine-protein kinase WNK4	probable serine/threonine-protein kinase WNK4
LOC7458819	transcription repressor OFP4	transcription repressor OFP4
LOC7458821	CBL-interacting serine/threonine-protein kinase 11	CBL-interacting serine/threonine-protein kinase 11
LOC7458822	uncharacterized LOC7458822	uncharacterized LOC7458822
LOC7458823	uncharacterized LOC7458823	uncharacterized LOC7458823
LOC7458826	CBL-interacting serine/threonine-protein kinase 10	CBL-interacting serine/threonine-protein kinase 10
LOC7458828	probable leucine-rich repeat receptor-like protein kinase At1g35710	probable leucine-rich repeat receptor-like protein kinase At1g35710
LOC7458829	uncharacterized LOC7458829	uncharacterized LOC7458829
LOC7458830	spermidine coumaroyl-CoA acyltransferase	spermidine coumaroyl-CoA acyltransferase
LOC7458831	protein LURP-one-related 7	protein LURP-one-related 7
LOC7458833	E3 ubiquitin-protein ligase listerin	E3 ubiquitin-protein ligase listerin
LOC7458835	TMV resistance protein N	TMV resistance protein N
LOC7458837	uncharacterized LOC7458837	uncharacterized LOC7458837
LOC7458840	wound-responsive protein GWIN3	wound-responsive protein GWIN3
LOC7458842	uncharacterized LOC7458842	uncharacterized LOC7458842
LOC7458843	cation/H(+) antiporter 15	cation/H(+) antiporter 15
LOC7458844	fasciclin-like arabinogalactan protein 12	fasciclin-like arabinogalactan protein 12
LOC7458848	probable leucine-rich repeat receptor-like protein kinase At1g35710	probable leucine-rich repeat receptor-like protein kinase At1g35710
LOC7458849	calcium-binding protein PBP1	calcium-binding protein PBP1
LOC7458850	universal stress protein PHOS32	universal stress protein PHOS32
LOC7458851	uncharacterized LOC7458851	uncharacterized LOC7458851
LOC7458852	transcription factor MYB8	transcription factor MYB8
LOC7458853	transcription repressor MYB6	transcription repressor MYB6
LOC7458854	putative cyclin-D6-1	putative cyclin-D6-1
LOC7458856	equilibrative nucleotide transporter 3	equilibrative nucleotide transporter 3
LOC7458857	uncharacterized GPI-anchored protein At4g28100	uncharacterized GPI-anchored protein At4g28100
LOC7458858	vesicle-associated protein 4-2	vesicle-associated protein 4-2
LOC7458860	uncharacterized LOC7458860	uncharacterized LOC7458860
LOC7458862	protein ACCELERATED CELL DEATH 6	protein ACCELERATED CELL DEATH 6
LOC7458864	heavy metal-associated isoprenylated plant protein 28	heavy metal-associated isoprenylated plant protein 28
LOC7458868	oxysterol-binding protein-related protein 1B	oxysterol-binding protein-related protein 1B
LOC7458869	flavonol synthase/flavanone 3-hydroxylase	flavonol synthase/flavanone 3-hydroxylase
LOC7458870	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370
LOC7458875	probable disease resistance protein At4g27220	probable disease resistance protein At4g27220
LOC7458877	DDT domain-containing protein DDB_G0282237	DDT domain-containing protein DDB_G0282237
LOC7458878	senescence-associated carboxylesterase 101	senescence-associated carboxylesterase 101
LOC7458880	T-complex protein 1 subunit gamma	T-complex protein 1 subunit gamma
LOC7458884	ubiquitin-conjugating enzyme E2 22	ubiquitin-conjugating enzyme E2 22
LOC7458885	magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplastic	magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplastic
LOC7458889	uncharacterized LOC7458889	uncharacterized LOC7458889
LOC7458890	uncharacterized LOC7458890	uncharacterized LOC7458890
LOC7458891	uncharacterized LOC7458891	uncharacterized LOC7458891
LOC7458894	uncharacterized LOC7458894	uncharacterized LOC7458894
LOC7458895	zinc finger protein 3	zinc finger protein 3
LOC7458896	mediator of RNA polymerase II transcription subunit 15a	mediator of RNA polymerase II transcription subunit 15a
LOC7458897	SKP1-like protein 14	SKP1-like protein 14
LOC7458898	4-alpha-glucanotransferase DPE2	4-alpha-glucanotransferase DPE2
LOC7458900	probable E3 ubiquitin-protein ligase RHC1A	probable E3 ubiquitin-protein ligase RHC1A
LOC7458901	protein sym-1	protein sym-1
LOC7458902	protein ROOT PRIMORDIUM DEFECTIVE 1	protein ROOT PRIMORDIUM DEFECTIVE 1
LOC7458906	protein kinase and PP2C-like domain-containing protein	protein kinase and PP2C-like domain-containing protein
LOC7458907	cytochrome P450 98A2	cytochrome P450 98A2
LOC7458908	fatty acyl-CoA reductase 2	fatty acyl-CoA reductase 2
LOC7458910	bZIP transcription factor 17	bZIP transcription factor 17
LOC7458911	phosphate transporter PHO1 homolog 3	phosphate transporter PHO1 homolog 3
LOC7458912	probable mediator of RNA polymerase II transcription subunit 26b	probable mediator of RNA polymerase II transcription subunit 26b
LOC7458913	serine carboxypeptidase-like 45	serine carboxypeptidase-like 45
LOC7458915	butyrate--CoA ligase AAE11, peroxisomal	butyrate--CoA ligase AAE11, peroxisomal
LOC7458917	transcription factor bHLH106	transcription factor bHLH106
LOC7458918	CDPK-related kinase 7	CDPK-related kinase 7
LOC7458919	uncharacterized LOC7458919	uncharacterized LOC7458919
LOC7458920	dual specificity protein phosphatase 12	dual specificity protein phosphatase 12
LOC7458923	DNA gyrase subunit B, chloroplastic/mitochondrial	DNA gyrase subunit B, chloroplastic/mitochondrial
LOC7458924	nudix hydrolase 16, mitochondrial	nudix hydrolase 16, mitochondrial
LOC7458925	ferredoxin-dependent glutamate synthase, chloroplastic	ferredoxin-dependent glutamate synthase, chloroplastic
LOC7458927	haloacid dehalogenase-like hydrolase domain-containing protein 3	haloacid dehalogenase-like hydrolase domain-containing protein 3
LOC7458928	uncharacterized LOC7458928	uncharacterized LOC7458928
LOC7458929	uncharacterized LOC7458929	uncharacterized LOC7458929
LOC7458930	pentatricopeptide repeat-containing protein At2g35030, mitochondrial	pentatricopeptide repeat-containing protein At2g35030, mitochondrial
LOC7458931	DNA-directed RNA polymerase V subunit 5A	DNA-directed RNA polymerase V subunit 5A
LOC7458932	uncharacterized LOC7458932	uncharacterized LOC7458932
LOC7458933	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC7458936	uncharacterized LOC7458936	uncharacterized LOC7458936
LOC7458938	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC7458940	glucan endo-1,3-beta-glucosidase, basic	glucan endo-1,3-beta-glucosidase, basic
LOC7458943	lycopene beta cyclase, chloroplastic/chromoplastic	lycopene beta cyclase, chloroplastic/chromoplastic
LOC7458945	regulatory protein NPR5	regulatory protein NPR5
LOC7458946	H/ACA ribonucleoprotein complex subunit 4	H/ACA ribonucleoprotein complex subunit 4
LOC7458949	folylpolyglutamate synthase	folylpolyglutamate synthase
LOC7458950	glycosyltransferase-like At3g57200	glycosyltransferase-like At3g57200
LOC7458951	DNA-(apurinic or apyrimidinic site) lyase, chloroplastic	DNA-(apurinic or apyrimidinic site) lyase, chloroplastic
